Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/20/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,,,,,,1.077475347,1.31773243,1.189184355,1.140204375,,1.125507296,1.587183334,1.816210849,2.59742643,,,,,,
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.142856222,4.115549193,3.981334503,3.605456166,3.390672372,2.921002924,2.674724839,2.741293207,2.539969119,2.272637295,2.149328696,2.092876081,1.975376522,1.799406217,1.751501239,1.829785807,1.733940102,1.773054145,1.815396805,1.680248548,1.732487535,1.678942365,1.919407508,2.040012771,2.06814661,2.045324499,2.061302317,2.015776517,1.950789637,1.90194402,1.921833716,1.857803971,1.821285469,1.779124049,1.65663509,1.519319688,1.370733341,1.217056716,1.226374834,1.21448824,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.381043981,1.197152932,1.196083782,1.121099973,1.004857889,0.995806097,0.986422266,0.991310176
Central Europe and the Baltics,CEB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.659843811,3.268037217,2.598912162,2.415394251,2.170632286,2.108408515,2.336634883,2.205113379,2.221045956,2.087184417,1.952881901,1.861524595,1.893444734,1.896342652,1.862738978,1.758686487,1.785763115,1.707035537,1.668152404,1.535960503,1.544634419,1.482542602,1.41578945,1.399584155,1.374770237,1.408300932,1.53811973,1.51425899
Switzerland,CHE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.101218909,2.215763407,2.304113246,2.258139985,2.275643395,2.238098677,2.295103269,2.160456651,1.97378877,1.993219166,,,,,,,,,,,1.682059017,1.665653195,1.730464313,1.752656476,1.705249466,1.829787635,1.664848397,1.565116035,1.569235751,1.529024631,1.575746551,1.542170773,1.526222305,1.369505,1.335752848,1.359215984,1.286175155,1.220584029,1.184590299,1.085508949,1.03077964,0.991888974,0.957306224,0.929084496,0.890330025,0.855037035,0.775655591,0.738290918,0.743077467,0.751711066,0.708080592,0.714349522,0.690494708,0.734904885,0.65643092,0.673992962,0.709597331
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.941827029,3.332873173,2.886923245,2.73456021,2.514644534,2.753421035,2.606649676,2.588956952,2.416440694,2.152880918,4.247178002,5.990833385,6.301118513,5.978217904,6.805745581,6.386090665,5.8016277,6.616555418,6.479123675,6.020775645,6.154896664,6.64246825,8.531488642,7.357314725,7.451771104,6.426269986,5.899057444,5.242615336,3.84005515,3.309106807,3.114964146,2.743579394,2.542940489,2.61886251,2.571617014,2.488882615,2.43990571,2.496254043,2.589397508,2.717865684,2.702046781,2.667081275,2.551802057,2.73384906,2.708704582,2.521367136,2.490734069,2.317015138,2.584010483,2.263607888,2.239468311,2.254395655,2.046290407,1.986419474,1.95515986,1.911977471,1.865722431
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.499185376,2.555996323,2.4078924,2.518629392,2.031472562,1.781000101,1.716336642,1.686051138,1.674802087,1.703300374,1.922053121,1.892938442,2.081184198,2.185412706,2.115686315,2.063710599,2.00873489,2.01072345,1.914648989,1.878156146,2.067426107,1.896713147,1.821927498,1.83856391,1.872333625,1.915341272,1.934922427,1.922962377
Cote d'Ivoire,CIV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,1.358602549,1.059693526,1.214964787,1.402839419,1.295707498,1.358483452,1.194514475,1.186775914,1.217996488,1.513067352,1.716369898,1.144696829,1.339648187,1.178430241,1.125314118,0.821205826,1.098216254,1.123656775,1.164286733,1.091036087,1.142121799,1.115089431,1.025556156,0.996969503,1.054334506,1.217135289,1.24914713,1.329009118,1.33360325,1.374000303,1.405880534,1.345633578,1.011260163,,0.845688055,0.797853682,,,,,,1.391605092,1.51507182,1.462534212,1.501948666,1.590764499,1.522855742,1.730239456,1.557966049,1.407830664,1.507351975,1.37538725,1.475969049,1.736027401,1.176836817
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.76681339,1.738257041,1.661542789,1.663874419,1.604949002,1.63702443,1.672490884,1.625119914,1.532028117,1.492732851,1.496241691,1.818915654,1.99079397,1.890756386,1.740219059,1.359776246,1.226374397,1.250057387,1.261603862,1.333651188,1.466386303,1.505029616,1.522533117,1.326126262,1.310339497,1.25164434,1.224839059,1.301241322,1.396508406,1.443852984,1.324748865,1.290360035,1.338506756,1.383814217,1.401603832,1.344866645,1.431108112,1.452144824,1.486073738,1.468127321,1.498802573,1.306930983,1.338949242,1.328622977,1.252788882,1.245129889,1.600523868
"Congo, Dem. Rep.",COD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,0.937004363,1.728870347,1.951310796,1.728866358,1.356587513,1.291096561,1.439762068,2.099258377,1.819492147,1.522778577,1.301043127,1.971682214,1.696267205,1.251947574,1.308048826,1.398280325,1.267183744,1.057203106,0.571641757,1.077981338,0.717015173,0.679629778,0.561097757,0.833024224,0.369337131,2.425602673,0.748125296,0.491283445,0.482968308,1.042223052,4.381616538,,,1.54674774,1.376250017,0.428432721,1.158153933,0.220260773,,,0.880641831,1.336616943,1.380795458,1.43463136,1.254075621,0.833062936,0.670095586,0.894993238,1.001246892,1.210687713,1.24763607,1.003012962,1.357548862,1.339658711
